,region_id2,calBP,mean_kde,lo10_kde,hi90_kde,StKDE,StKDE_lo,StKDE_hi,PeriodID
1,SE China (20),11490,7.35021021820956E-06,3.95097819140861E-13,1.16817337540896E-05,0,-0.00299518166780449,0.00176507884816259,Early Holocence
2,SE China (20),11460,7.83211789875372E-06,4.63950304403688E-16,1.63501731458852E-05,0.000196375489282153,-0.00299518182861624,0.00366744958587889,Early Holocence
3,SE China (20),11430,8.35743852514357E-06,2.40741883546838E-16,2.22682973429086E-05,0.000410441583686017,-0.0029951818287072,0.00607906197917114,Early Holocence
4,SE China (20),11400,9.14930781321285E-06,1.47253183399532E-17,2.88042484375463E-05,0.000733125212045132,-0.0029951818287993,0.00874243640948609,Early Holocence
5,SE China (20),11370,1.0510181697101E-05,2.09307092750643E-20,3.60991205811468E-05,0.00128767598097681,-0.00299518182880529,0.0117150681899813,Early Holocence
6,SE China (20),11340,1.18898535369113E-05,3.26253248363817E-20,4.11226538262542E-05,0.00184988684320173,-0.00299518182880529,0.0137621382798773,Early Holocence
7,SE China (20),11310,1.4058127286593E-05,1.49598207180337E-18,5.44082444617815E-05,0.00273344988998819,-0.00299518182880469,0.0191759643440481,Early Holocence
8,SE China (20),11280,1.76543821815724E-05,1.26545885023269E-19,7.27584316132517E-05,0.00419890965146672,-0.00299518182880525,0.0266535936198878,Early Holocence
9,SE China (20),11250,2.1280086028504E-05,1.4363204731223E-19,8.78613009450633E-05,0.00567636974533658,-0.00299518182880524,0.0328079536235506,Early Holocence
10,SE China (20),11220,2.51762410991467E-05,1.29650595203813E-17,9.91901807031863E-05,0.00726403765187967,-0.00299518182880002,0.0374244276814199,Early Holocence
11,SE China (20),11190,2.94867454638062E-05,4.57483949697122E-17,0.000100372391946613,0.00902055127022884,-0.00299518182878666,0.037906174125263,Early Holocence
12,SE China (20),11160,3.38016602389061E-05,7.87428345947883E-17,0.000105255014019865,0.0107788621135302,-0.00299518182877321,0.039895823465427,Early Holocence
13,SE China (20),11130,3.76613463948139E-05,5.26035164915904E-13,0.000108961254721262,0.0123516690803876,-0.00299518161444803,0.0414061020115428,Early Holocence
14,SE China (20),11100,4.09348967136227E-05,1.72921100815423E-12,0.000108599493460606,0.0136856279930573,-0.0029951811241586,0.0412586857170267,Early Holocence
15,SE China (20),11070,4.42061754959485E-05,2.935011295709E-12,0.000129496385104314,0.0150186612635214,-0.00299518063279971,0.0497740870826483,Early Holocence
16,SE China (20),11040,4.47577818066225E-05,4.01751197322966E-12,0.000128414958647421,0.0152434386711514,-0.00299518019168493,0.0493334100439358,Early Holocence
17,SE China (20),11010,4.2387676875171E-05,1.23499663743694E-11,0.000106160277671,0.0142776302095841,-0.00299517679624245,0.0402647148518856,Early Holocence
18,SE China (20),10980,4.00176558694768E-05,2.11236507981379E-11,0.000113811306609806,0.0133118559474336,-0.00299517322100047,0.0433824791292123,Early Holocence
19,SE China (20),10950,3.80385072872692E-05,1.1191948440935E-10,0.000113807626188189,0.0125053606644487,-0.00299513622205447,0.0433809793718418,Early Holocence
20,SE China (20),10920,3.64068401214993E-05,6.57101838579769E-11,0.000101002329119153,0.0118404626954811,-0.00299515505216316,0.0381628710518088,Early Holocence
21,SE China (20),10890,3.47856869552106E-05,9.35645938426808E-11,0.00010532632390222,0.0111798491400553,-0.00299514370160037,0.0399248819627357,Early Holocence
22,SE China (20),10860,3.51822324071295E-05,1.02496231402391E-10,0.00010702923668668,0.0113414398560515,-0.0029951400619931,0.0406188122418206,Early Holocence
23,SE China (20),10830,3.70774714131385E-05,5.93219255402897E-11,0.000106659808169434,0.0121137423159156,-0.00299515765535336,0.040468271570323,Early Holocence
24,SE China (20),10800,3.89616444812712E-05,3.57530366209051E-10,0.000123189437440743,0.0128815354495071,-0.00299503613658367,0.0472040306521051,Early Holocence
25,SE China (20),10770,3.99931113792935E-05,1.60301239058296E-10,0.000114800800466914,0.0133018541639728,-0.00299511650667925,0.043785693994167,Early Holocence
26,SE China (20),10740,4.04909794821425E-05,3.93690733548792E-10,0.000109071627904244,0.0135047334627309,-0.00299502140137584,0.0414510786506104,Early Holocence
27,SE China (20),10710,4.09901921928603E-05,1.51766809841787E-09,0.00013099460471253,0.0137081606839206,-0.00299456338500906,0.0503846056954318,Early Holocence
28,SE China (20),10680,4.15466488528112E-05,1.02722882953401E-08,0.000117819408974388,0.0139349145898529,-0.00299099591162347,0.0450157651188628,Early Holocence
29,SE China (20),10650,4.21334292718171E-05,2.54459102848425E-08,0.000111626718069939,0.0141740253086391,-0.00298481272018937,0.0424922678694288,Early Holocence
30,SE China (20),10620,4.2927552783542E-05,7.92665921214788E-08,0.00012710068990101,0.0144976275242944,-0.00296288100348123,0.0487978506856926,Early Holocence
31,SE China (20),10590,4.93939359147863E-05,1.10452406412977E-06,0.00011678784634573,0.0171326532824439,-0.00254509260575645,0.0445954073945386,Early Holocence
32,SE China (20),10560,5.84104447939764E-05,2.56387570160631E-06,0.000131212954930005,0.0208068452786547,-0.00195041253856897,0.0504735825524579,Early Holocence
33,SE China (20),10530,6.7624209408607E-05,4.45715677027137E-06,0.000148829594407288,0.0245614182132167,-0.00117890793049151,0.0576522940287978,Early Holocence
34,SE China (20),10500,8.06088022579525E-05,1.3393095616305E-05,0.000163473823719508,0.0298525888603425,0.00246245209328683,0.0636197600237369,Early Neolithic
35,SE China (20),10470,9.50342017124504E-05,2.53038743834855E-05,0.000180217367479429,0.0357308825467366,0.00731604771453822,0.0704426884204349,Early Neolithic
36,SE China (20),10440,0.000109263749083971,3.09919710447507E-05,0.000194679423462034,0.0415293672776512,0.0096339247894145,0.0763359194982278,Early Neolithic
37,SE China (20),10410,0.000120710830173023,5.19401491465919E-05,0.000187387784435445,0.0461940079141666,0.0181702251855269,0.0733646052002312,Early Neolithic
38,SE China (20),10380,0.000131256308328288,6.60387633427978E-05,0.000194802129844756,0.0504912488921812,0.0239153551611562,0.0763859218678058,Early Neolithic
39,SE China (20),10350,0.000141738448145017,6.55852049944967E-05,0.000224913246021073,0.0547626797457209,0.0237305319135477,0.0886560835827614,Early Neolithic
40,SE China (20),10320,0.000151528718026096,7.76293831587385E-05,0.000223338793242835,0.0587521763147118,0.0286384872657714,0.0880145002522591,Early Neolithic
41,SE China (20),10290,0.000161129114684617,8.38225097463182E-05,0.000238909840936056,0.0626643002903891,0.031162162054372,0.0943596411015173,Early Neolithic
42,SE China (20),10260,0.00017165990511671,7.73481027735991E-05,0.000265250602222825,0.0669555560788318,0.0285238666122993,0.105093397990208,Early Neolithic
43,SE China (20),10230,0.000190259895165375,9.41277226604705E-05,0.000289231257381663,0.0745349790552935,0.0353614958892017,0.114865420890539,Early Neolithic
44,SE China (20),10200,0.000210723152866446,0.000102374074787794,0.000322204024726109,0.0828736762904506,0.0387218520303769,0.128301694230156,Early Neolithic
45,SE China (20),10170,0.000232167659659721,8.95919389110796E-05,0.000364677408523352,0.0916122286812086,0.0335131818053529,0.145609431503059,Early Neolithic
