,LabID,Age,Error,Material,Taxa,d13C,Method,Longitude,Latitude,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib
29149,Beta-192662,1590,40,CHARCOAL,NA,-25.1,NA,-117.7616253,33.70141709,1,NA,CA-ORA-263,NA,USA,California,North America,UWyo2021,Koerper H. C. 2006,intcal20
29358,Beta-193733,770,40,CHARCOAL,NA,-26.1,NA,-116.7357302,33.03555017,1,NA,CA-SDI-12983,NA,USA,California,North America,UWyo2021,Scharlotta 2015 (personal comm),intcal20
29359,Beta-193734,750,40,CHARCOAL,NA,-26.4,NA,-116.7357302,33.03555017,1,NA,CA-SDI-12983,NA,USA,California,North America,UWyo2021,Scharlotta 2015 (personal comm),intcal20
29360,Beta-193735,380,40,CHARCOAL,NA,-26,NA,-116.7357302,33.03555017,1,NA,CA-SDI-14571,NA,USA,California,North America,UWyo2021,Scharlotta 2015 (personal comm),intcal20
29554,Beta-194688,680,40,CHARCOAL,NA,NA,NA,-116.1784911,34.84146144,1,NA,CA-SBR-2609,Ridge,USA,California,North America,UWyo2021,Allen 2013-Living on the Edge,intcal20
29571,Beta-194828,2870,60,CHARCOAL,NA,NA,NA,-120.0183356,34.67161852,1,NA,CA-SCRI-�,Pozo 7,USA,California,North America,UWyo2021,NA,intcal20
29758,Beta-196260,880,40,CHARCOAL,NA,-22.6,AMS,-118.22564,34.3205641,1,NA,CA-LAN-902,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
30326,Beta-199325,3350,110,CHARCOAL,NA,-24.4,AMS,-118.22564,34.3205641,1,NA,CA-LAN-2987,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
31044,Beta-203143,730,60,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-115,NA,USA,California,North America,UWyo2021,Joslin 2006-Late Prehistoric Coastal Adaptations Along the San Simeon Reef,intcal20
31257,Beta-204372,1000,40,CHARCOAL,NA,-24,AMS,-118.22564,34.3205641,1,NA,CA-LAN-3418,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
31258,Beta-204373,940,40,CHARCOAL,NA,-23.4,AMS,-118.22564,34.3205641,1,NA,CA-LAN-3418,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
31339,Beta-204972,4170,40,CHARCOAL,NA,-22,AMS,-118.22564,34.3205641,1,NA,CA-LAN-�,FS-050154089 SGM,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
31686,Beta-206585,1730,40,CHARCOAL,NA,-21.2,AMS,-116.1784911,34.84146144,1,NA,CA-SBR-12196,NA,USA,California,North America,UWyo2021,Milburn et al. 2009 Spatial and Temporal Distributions�,intcal20
31734,Beta-206884,240,40,CHARCOAL,NA,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBR-12277,North Eagle Crags Skull Cave,USA,California,North America,UWyo2021,Allen 2006-Three Archaeological Landscapes of the Mojave B�,intcal20
31735,Beta-206885,350,40,CHARCOAL,NA,NA,NA,-120.0183356,34.67161852,1,NA,CA-SBR-12273,Corey's Cave,USA,California,North America,UWyo2021,Allen 2006-Three Archaeological Landscapes of the Mojave B�,intcal20
32217,Beta-210107,4480,40,CHARCOAL,NA,NA,NA,-120.4061554,35.3872098,1,NA,CA-SLO-670,NA,USA,California,North America,UWyo2021,Basgall,intcal20
32377,Beta-210826,1590,40,CHARCOAL,NA,-26.6,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-263,NA,USA,California,North America,UWyo2021,Hull et al 2013 Recognizing Ritual Action and Intent�,intcal20
32441,Beta-211390,350,40,CHARCOAL,NA,NA,NA,-116.1784911,34.84146144,1,NA,CA-SBR-�,Searles Salt Wells Valley,USA,California,North America,UWyo2021,Kaldenberg 2006; Rogers 2009,intcal20
32815,Beta-212904,350,40,CHARCOAL,NA,-20.9,AMS,-118.22564,34.3205641,1,NA,CA-LAN-192,Lovejoy Springs Site,USA,California,North America,UWyo2021,Price et al. 2009 The Archaeology of CA-LAN-192�,intcal20
33282,Beta-215192,1200,40,CHARCOAL,NA,-12.6,AMS,-118.22564,34.3205641,1,NA,CA-LAN-192,Lovejoy Springs Site,USA,California,North America,UWyo2021,Price et al. 2009 The Archaeology of CA-LAN-192�,intcal20
33313,Beta-215484,520,40,CHARCOAL,NA,-16.3,AMS,-118.22564,34.3205641,1,NA,CA-LAN-192,Lovejoy Springs Site,USA,California,North America,UWyo2021,Price et al. 2009 The Archaeology of CA-LAN-192�,intcal20
33388,Beta-215843,170,40,CHARCOAL,NA,-24.6,NA,-116.7357302,33.03555017,1,NA,CA-SDI-10710,NA,USA,California,North America,UWyo2021,Scharlotta 2015 (personal comm),intcal20
33740,Beta-217718,260,40,CHARCOAL,NA,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-16409,NA,USA,California,North America,UWyo2021,Gamble and Mattingly 2012; Mealey 2006,intcal20
