"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region"
1479,"AA-14701",2695,65,"charcoal",,386,"Dairy Lane, Nursling, Dummer, Basingstoke and Deane",-1.4785,50.943,"SEEngland"
200052,"AA-14702",1750,70,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200053,"AA-14703",1495,65,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200054,"AA-14704",1245,70,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200055,"AA-14705",1495,55,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
62320,"AA-14706",810,55,"grain (charred)","Hordeum vulgare",387,"Robert’s Haven",-3.0544,58.6459,"Scotland"
62319,"AA-14707",590,65,"grain (charred)","Hordeum vulgare",387,"Robert’s Haven",-3.0544,58.6459,"Scotland"
200056,"AA-15209",1585,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
200057,"AA-15210",1955,50,"charcoal",,458,"Aled Isaf, site P2",-3.6243,53.1211,"NWEnglandWales"
200058,"AA-15211",1930,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
200059,"AA-15212",1315,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
226314,"AA-17451",3390,60,"charcoal","Betula",588,"Camps Reservoir",-5.1483,55.4513,"Scotland"
215470,"AA-17452",5420,65,"charcoal","cf Fraxinus",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200062,"AA-17453",2085,55,"nutshell (charred)","Corylus avellana",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
215471,"AA-17454",5290,65,"charcoal","Coniferidae",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200063,"AA-17455",3110,55,"charcoal","Alnus,Salix/Populus",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200064,"AA-17456",3120,50,"charcoal","Corylus avellana",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
215472,"AA-17457",6240,65,"nutshell (charred)","Corylus avellana",650,"Lón Mór, Oban",-5.4799,56.3985,"Scotland"
56741,"AA-17460",4665,60,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
215473,"AA-17461",4775,60,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
56740,"AA-17462",3645,55,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
56739,"AA-17463",3830,55,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
200066,"AA-17464",1870,50,"wood","Quercus",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200067,"AA-17465",1870,50,"wood","Quercus",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200068,"AA-17466",1875,50,"wood","Betula",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200069,"AA-17467",1885,50,"wood","cf Alnus",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200070,"AA-17468",1905,50,"wood","Corylus avellana",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200071,"AA-17469",1865,60,"wood","Quercus",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200072,"AA-17470",1870,50,"plant matter (short-lived,leaves)","Salix",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200073,"AA-17472",1970,65,"wood","Corylus avellana",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200074,"AA-17473",1845,50,"wood",,759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200075,"AA-17474",1715,60,"charcoal",,759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200076,"AA-17475",2085,50,"wood",,759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200077,"AA-17476",2065,55,"wood","Quercus",759,"Pict's Knowe",-3.6384,55.0326,"Scotland"
200078,"AA-17477",2310,65,"bone","Bos",761,"Cladh Hallan, South Uist",-7.4104,57.1717,"Scotland"
200097,"AA-18145",1810,70,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200098,"AA-18146",1560,65,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200099,"AA-18147",1755,70,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200100,"AA-18148",1710,70,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200101,"AA-18149",1595,70,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200102,"AA-18150",1750,70,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
226307,"AA-18151",4565,70,"charcoal","Alnus",819,"Biggar Common West",-3.59,55.6342,"Scotland"
226308,"AA-18153",4300,70,"charcoal","Corylus",819,"Biggar Common West",-3.59,55.6342,"Scotland"
226309,"AA-18154",4600,70,"grain (charred)","Hordeum vulgare",824,"Biggar Common East",-3.5426,55.6393,"Scotland"
57002,"AA-18155",4645,65,"grain (charred)","Hordeum vulgare",824,"Biggar Common East",-3.5426,55.6393,"Scotland"
