"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"68","A-10944",575,55,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","van Noten 1982","shcal20"
"69","A-10945",600,90,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"70","A-10946",270,45,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"71","A-10947",680,50,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"213","A-14111",1810,55,"Plant fragments",NA,NA,NA,-68.175376,-22.857607,2,NA,NA,"Calar","Chile",NA,"South America","SCAR","Pestle et al 2015","shcal20"
"720","A-9590",720,55,"charcoal",NA,NA,"Radiometric",-67.8075,-20.834444,2,NA,NA,"Sutuj Uno","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"721","A-9591",905,75,"charcoal",NA,NA,"Radiometric",-67.757778,-20.825833,2,NA,NA,"Belen Khasa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"722","A-9592",215,60,"charcoal",NA,NA,"Radiometric",-67.802222,-20.824722,2,NA,NA,"Orkho Sonko","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"723","A-9593",605,55,"charcoal",NA,NA,"Radiometric",-68.051109,-21.03843,2,NA,NA,"Talapaca","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"724","A-9596",985,60,"charcoal",NA,NA,"Radiometric",-67.74327,-20.79779,2,NA,NA,"Itapilla Kancha","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"725","A-9597",610,55,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"726","A-9598",615,45,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"929","AA-101130",10380,100,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"930","AA-101131",8461,85,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"931","AA-101132",8454,84,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"932","AA-101133",4584,59,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"933","AA-101134",4683,73,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"934","AA-101137",10060,100,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"935","AA-101138",10310,100,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"936","AA-101139",4890,66,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"1154","AA-107486",8471,71,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"1155","AA-107487",10305,70,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"1156","AA-107488",10140,68,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"2566","AA-34477",9090,75,"charcoal",NA,NA,NA,-69.8,-18.7,1,NA,NA,"Quebrada la Higuera","Chile",NA,"South America","Pratesetal2020","Gayo E. M. Latorre C. Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"2621","AA-35463",2555,45,"Charcoal & organic material",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","Rivera 2001","shcal20"
"2760","AA-37164",3936,55,"shell",NA,NA,NA,-70.950858,-17.172533,1,NA,NA,"Loreto Viejo","Peru",NA,"South America","Goldberg_2016","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"2761","AA-37165",3439,43,"plant",NA,NA,NA,-70.950858,-17.172533,1,NA,NA,"Loreto Viejo","Peru",NA,"South America","Goldberg_2016","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"2762","AA-37166",3961,47,"shell",NA,NA,NA,-70.950858,-17.172533,1,NA,NA,"Loreto Viejo","Peru",NA,"South America","Goldberg_2016","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"2763","AA-37173",1092,52,"Camelid fiber",NA,NA,NA,-70.9,-17.2,1,NA,NA,"Chen Chen","Peru",NA,"South America","SCAR","Goldstein and Owen 2001","shcal20"
"2764","AA-37175",1175,32,"Camelid fiber",NA,NA,NA,-70.9,-17.2,1,NA,NA,"Chen Chen","Peru",NA,"South America","SCAR","Goldstein and Owen 2001","shcal20"
"2765","AA-37177",1100,29,"Plant material",NA,NA,NA,-70.9,-17.2,1,NA,NA,"Chen Chen","Peru",NA,"South America","SCAR","Owen 2005","shcal20"
"2854","AA-37978",1325,42,"Wood",NA,NA,NA,-70.88248,-17.171236,2,NA,NA,"Rio Muerto","Peru",NA,"South America","SCAR","Magillian & Goldstein 2001","shcal20"
"2855","AA-38029",2112,42,"Wood",NA,NA,NA,-74.201857,-15.322358,2,NA,NA,"Tres Quebradas","Peru",NA,"South America","SCAR","Goldstein 2000","shcal20"
"2856","AA-38030",2220,42,"Wood",NA,NA,NA,-74.201857,-15.322358,2,NA,NA,"Tres Quebradas","Peru",NA,"South America","SCAR","Goldstein 2000","shcal20"
"2857","AA-38031",1122,44,"Charcoal",NA,NA,NA,-70.88248,-17.171236,2,NA,NA,"Rio Muerto","Peru",NA,"South America","SCAR","Magillian & Goldstein 2001","shcal20"
"2858","AA-38032",1132,39,"Charcoal",NA,NA,NA,-70.88248,-17.171236,2,NA,NA,"Rio Muerto","Peru",NA,"South America","SCAR","Magillian & Goldstein 2001","shcal20"
"2959","AA-39924",2435,63,"Plant material",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","Rivera 2001","shcal20"
"2960","AA-39925",2285,43,"Plant material",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","Rivera 2001","shcal20"
"3001","AA-40294",3951,46,"shell",NA,NA,NA,-70.950858,-17.172533,1,NA,NA,"Loreto Viejo","Peru",NA,"South America","Goldberg_2016","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"3002","AA-40295",1038,47,"Camelid fiber textile",NA,NA,NA,-70.9,-17.2,1,NA,NA,"Chen Chen","Peru",NA,"South America","SCAR","Owen 2005","shcal20"
"3310","AA-44217",9754,140,"plant",NA,NA,NA,-68.834212,-22.401119,2,NA,NA,"Tuina 1","Chile",NA,"South America","Goldberg_2016","Latorre et al 2003","shcal20"
"4020","AA-53448",2278,46,"Plant material",NA,NA,NA,-69.3106,-20.997,2,NA,NA,"Ramaditas","Chile",NA,"South America","SCAR","Rivera 2001","shcal20"
"4084","AA-54456",5444,47,"charcoal",NA,NA,"AMS",-68.264823,-19.291929,2,NA,NA,"Salar de Coipasa Site 7","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Placzek et al. 2006:519","shcal20"
"4085","AA-54457",5591,45,"charcoal",NA,NA,"AMS",-68.264823,-19.291929,2,NA,NA,"Salar de Coipasa Site 8","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Placzek et al. 2006:519","shcal20"
"4179","AA-56416",920,32,"Maize",NA,NA,NA,-69.971111,-19.548889,2,NA,NA,"Tiliviche 1-B","Chile",NA,"South America","SCAR","Rivera 2006","shcal20"
"4187","AA-56760",575,31,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4188","AA-56761",651,32,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4189","AA-56762",685,33,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4190","AA-56764",1793,33,"Charcoal",NA,NA,NA,-71.383925,-17.414718,2,NA,NA,"Wawakiki","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4191","AA-56771",592,35,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4192","AA-56772",627,30,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4193","AA-56773",727,30,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4194","AA-56774",480,30,NA,NA,NA,NA,-71.362696,-17.512367,2,NA,NA,"Miraflores","Peru",NA,"South America","SCAR","Zaro & Umire 2005","shcal20"
"4238","AA-58004",1079,32,"Charcoal",NA,NA,NA,-71.38333333,-17.41666666,2,NA,NA,"Pocoma: 17�25'S 71�23'W","Peru",NA,"South America","SCAR","Ortlieb et al_2011","shcal20"
"5059","AA-82247",662,38,"Guinea pig fur",NA,NA,NA,-69.504838,-19.924569,2,NA,NA,"Tarapaca Viejo","Chile",NA,"South America","SCAR","Zori & Urbina 2014","shcal20"
"5060","AA-82248",618,39,"Maize cob",NA,NA,NA,-69.504838,-19.924569,2,NA,NA,"Tarapaca Viejo","Chile",NA,"South America","SCAR","Zori & Urbina 2014","shcal20"
"5134","AA-84146",2058,53,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5135","AA-84147",2109,53,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5136","AA-84148",2061,53,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5137","AA-84149",1993,38,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5138","AA-84150",2059,57,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5139","AA-84151",1995,57,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5140","AA-84152",2016,57,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5141","AA-84153",2035,57,"charcoal",NA,NA,"AMS",-67.15331,-17.931846,2,NA,NA,"Cochiraya KCH56","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5142","AA-84154",1160,63,"collagen",NA,NA,"AMS",-67.165724,-17.973813,2,NA,NA,"Korichaca KCH11","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5143","AA-84155",1060,62,"collagen",NA,NA,"AMS",-67.165724,-17.973813,2,NA,NA,"Korichaca KCH11","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5144","AA-84156",1042,52,"leather",NA,NA,"AMS",-67.644001,-21.346998,2,NA,NA,"Cueva del Chileno","Bolivia",NA,"South America","SCAR","Albarracin-Jordan et al. 2014:454","shcal20"
"5145","AA-84157",3111,54,"leather",NA,NA,"AMS",-67.646222,-21.329596,2,NA,NA,"Cueva Bautista","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles et al. 2016:469","shcal20"
"5146","AA-84158",10917,69,"charcoal",NA,NA,"AMS",-67.646222,-21.329596,2,NA,NA,"Cueva Bautista","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles et al. 2016:469","shcal20"
"5461","AA-91560",3648,48,"charcoal",NA,NA,"AMS",-67.644001,-21.346998,2,NA,NA,"Cueva del Chileno","Bolivia",NA,"South America","SCAR","Albarracin-Jordan et al. 2014:455","shcal20"
"5462","AA-91568",8273,82,"collagen",NA,NA,"AMS",-67.155203,-17.954162,2,NA,NA,"Iroco KCH20","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles 2011:133","shcal20"
"5463","AA-91569",8105,92,"collagen",NA,NA,"AMS",-67.155203,-17.954162,2,NA,NA,"Iroco KCH20","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles 2011:133","shcal20"
"5464","AA-91570",2185,39,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5465","AA-91571",2076,39,"charcoal",NA,NA,"AMS",-67.154113,-17.959896,2,NA,NA,"Iroco KCH21","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5466","AA-91572",2023,38,"charcoal",NA,NA,"AMS",-67.15331,-17.931846,2,NA,NA,"Cochiraya KCH56","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5467","AA-91573",2009,38,"charcoal",NA,NA,"AMS",-67.165724,-17.973813,2,NA,NA,"Korichaca KCH11","Bolivia",NA,"South America","SCAR","Capriles 2011:133","shcal20"
"5552","AA-94254",10321,73,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"5553","AA-94255",10211,69,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5554","AA-94256",10200,69,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5555","AA-94257",10055,67,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5635","AA-96306",10132,71,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5636","AA-96307",10306,72,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"5637","AA-96308",10260,72,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. Hodgins G. Moore K. Zarrillo S. Miller C. Bromley G. R. M. Leach P. Reid D. A. Alvarez W. Y. Sandwiess D. H. (2014). Paleoindian settlement of the high-altitude Peruvian Andes. Science 346 466-469.","shcal20"
"5638","AA-96309",10189,77,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5639","AA-96312",10163,71,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5640","AA-96318",10084,99,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5641","AA-96319",10100,99,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5642","AA-96321",10034,97,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5643","AA-96322",10127,98,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5644","AA-96329",8483,83,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5645","AA-96330",10086,97,"collagen",NA,NA,NA,-72.622978,-15.354842,1,NA,NA,"Cuncaicha","Peru",NA,"South America","Pratesetal2020","Rademaker K. & Hodgins G. (2018). Exploring the chronology of occupations and burials at Cuncaicha rockshelter Peru. New Perspectives on the Peopling of the Americas Kerns Verlag Tuebingen 107-124.","shcal20"
"5646","AA-96331",8404,82,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5647","AA-96335",4898,66,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5648","AA-96336",8361,82,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5649","AA-96337",8363,82,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5650","AA-96338",2098,48,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5651","AA-96339",4826,58,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5652","AA-96340",4599,57,"collagen",NA,NA,NA,-72.622978,-15.354842,2,NA,NA,"Cuncaicha","Peru",NA,"South America","Goldberg_2016","Rademaker et al 2014","shcal20"
"5683","AA-96430",10412,60,"charcoal",NA,NA,"AMS",-67.646222,-21.329596,2,NA,NA,"Cueva Bautista","Bolivia",NA,"South America","SCAR","Capriles et al. 2016:469","shcal20"
"5684","AA-96431",3201,51,"collagen",NA,NA,"AMS",-69.301153,-17.54914,2,NA,NA,"Markanasa PAM05","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles & Albarracin-Jordan 2013:49","shcal20"
"5685","AA-96432",4441,45,"charcoal",NA,NA,"AMS",-68.285825,-18.261042,2,NA,NA,"Pumiri UMRR1","Bolivia",NA,"South America","Capriles_&_Albarracin-Jordan_2013","Capriles & Albarracin-Jordan 2013:52","shcal20"
"6011","AA56903",10000,50,"shell",NA,NA,NA,-69.15,-18.25,2,NA,NA,"Lago Chungara","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"6012","AA56904",6635,39,"soil",NA,NA,NA,-69.15,-18.25,2,NA,NA,"Lago Chungara","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"6013","AA56905",4385,100,"soil",NA,NA,NA,-69.15,-18.25,2,NA,NA,"Lago Chungara","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"6089","AA62074",8428,114,"shell",NA,NA,NA,-72.96,-16.51,2,NA,NA,"PC-339","Peru",NA,"South America","Goldberg_2016","McInnis 2006","shcal20"
"6257","AA87120",2743,36,"wood",NA,NA,NA,-73.957817,-13.651886,2,NA,NA,"Campanayuq Rumi","Peru",NA,"South America","Goldberg_2016","Matsumoto & Palomino 2012","shcal20"
"6258","AA87452",2706,56,"wood",NA,NA,NA,-73.957817,-13.651886,2,NA,NA,"Campanayuq Rumi","Peru",NA,"South America","Goldberg_2016","Matsumoto & Palomino 2012","shcal20"
"6259","AA87454",2659,38,"wood",NA,NA,NA,-73.957817,-13.651886,2,NA,NA,"Campanayuq Rumi","Peru",NA,"South America","Goldberg_2016","Matsumoto & Palomino 2012","shcal20"
"6260","AA87455",2473,55,"wood",NA,NA,NA,-73.957817,-13.651886,2,NA,NA,"Campanayuq Rumi","Peru",NA,"South America","Goldberg_2016","Matsumoto & Palomino 2012","shcal20"
"8629","ANU31014",8075,40,"charcoal",NA,NA,NA,-70.3333,-18.75,1,NA,NA,"Caleta Vitor 3","Chile",NA,"South America","Goldberg_2016; Pratesetal2020","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"8630","ANU31016",8420,40,"charcoal",NA,NA,NA,-70.3333,-18.75,1,NA,NA,"Caleta Vitor 3","Chile",NA,"South America","Goldberg_2016; Pratesetal2020","Gayo E. M. Latorre C. & Santoro C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International 356 4-14.","shcal20"
"8945","B-187527",2810,60,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8946","B-187528",3700,60,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8947","B-187529",4270,70,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8948","B-187530",5140,70,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8949","B-187531",8789,60,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8950","B-187532",9170,70,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8951","B-187533",9260,60,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8983","B-219700",6200,80,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
"8984","B-219701",6960,50,"charcoal",NA,NA,NA,-69.311093,-17.875064,2,NA,NA,"Hakenasa","Chile",NA,"South America","Goldberg_2016","Moreno 2009","shcal20"
