"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"160173","UCIAMS-97248",1135,15,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160174","UCIAMS-97250",1715,15,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160175","UCIAMS-97251",1840,15,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160176","UCIAMS-97252",2450,15,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160177","UCIAMS-97254",1730,15,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160178","UCIAMS-97256",1750,15,"Charcoal",NA,NA,NA,-69.305556,-21.097222,2,NA,NA,"Quebrada Man� 4","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160179","UCIAMS-97257",1765,15,"Charcoal",NA,NA,NA,-69.305556,-21.097222,2,NA,NA,"Quebrada Man� 4","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160180","UCIAMS-97258",1575,15,"Charcoal",NA,NA,NA,-69.305556,-21.097222,2,NA,NA,"Quebrada Man� 4","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160181","UCIAMS-97259",2290,15,"Charcoal",NA,NA,NA,-69.305556,-21.097222,2,NA,NA,"Quebrada Mani 19","Chile",NA,"South America","SCAR","Santoro et al 2011 ms","shcal20"
"160182","UCIAMS-97417",1415,20,"Charcoal",NA,NA,NA,-69.21421,-20.719318,2,NA,NA,"Chacarilla 15","Chile",NA,"South America","SCAR","Bayliss et al. 2015: Table 1","shcal20"
"160405","UCLA-1294A",680,80,"Plant fiber fiber mat",NA,NA,NA,-70.180575,-18.515114,2,NA,NA,"Azapa 8","Chile",NA,"South America","SCAR","Nunez 1976","shcal20"
"160406","UCLA-1294B",280,80,"Camelid fiber textile",NA,NA,NA,-70.180575,-18.515114,2,NA,NA,"Azapa 8","Chile",NA,"South America","SCAR","Nunez 1976","shcal20"
"160407","UCLA-1294C",580,80,"Plant fiber fiber mat",NA,NA,NA,-70.180575,-18.515114,2,NA,NA,"Azapa 8","Chile",NA,"South America","SCAR","Espoueys 1972-1973","shcal20"
"160408","UCLA-1294D",810,80,"Camelid fiber textile",NA,NA,NA,-70.180575,-18.515114,2,NA,NA,"Azapa 8","Chile",NA,"South America","SCAR","Rivera 1977-1978","shcal20"
"160409","UCLA-1294E",610,60,"Plant fiber fiber mat",NA,NA,NA,-70.180575,-18.515114,2,NA,NA,"Azapa 8","Chile",NA,"South America","SCAR","Berger R. Libby W. F. 1968; Woodward G. D. Marcus L. F. 1976; Ericson J. E. Hagan T. A. 1972","shcal20"
"160444","UCLA-153",2690,90,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Neira y Cardona 2000-2001","shcal20"
"160445","UCLA-154",3260,80,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Salls R. 1988","shcal20"
"160494","UCLA-1698E",1830,60,"Charcoal",NA,NA,NA,-69.2694,-20.997,2,NA,NA,"Guatacondo 1","Chile",NA,"South America","SCAR","Breschini Gary S. Trudy Haversat and Jon Erlandson 1996; Sutton 1998","shcal20"
"160554","UCLA-1834B",1610,80,"Plant material",NA,NA,NA,-69.560873,-19.978697,2,NA,NA,"Caserones 9","Chile",NA,"South America","SCAR",NA,"shcal20"
"160626","UCLA-1971-1808A",3550,100,"charcoal",NA,NA,NA,-73.386209,-13.66174,2,NA,NA,"Waywaka","Peru",NA,"South America","Goldberg_2016","Grossman 2013","shcal20"
"160627","UCLA-1971-1808F",3185,160,"charcoal",NA,NA,NA,-73.386209,-13.66174,2,NA,NA,"Waywaka","Peru",NA,"South America","Goldberg_2016","Grossman 2013","shcal20"
"160628","UCLA-1971-1808I",2660,250,"charcoal",NA,NA,NA,-73.386209,-13.66174,2,NA,NA,"Waywaka","Peru",NA,"South America","Goldberg_2016","Grossman 2013","shcal20"
"160629","UCLA-1971-1808J",3440,110,"charcoal",NA,NA,NA,-73.386209,-13.66174,2,NA,NA,"Waywaka","Peru",NA,"South America","Goldberg_2016","Erlandson","shcal20"
"160701","UCLA-2538B",2775,160,"charcoal",NA,NA,NA,-72.32,-13.09,2,NA,NA,"Machu Picchu","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"160702","UCLA-2538K",2700,50,"charcoal",NA,NA,NA,-72.32,-13.09,2,NA,NA,"Machu Picchu","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"160703","UCLA-2538P",2660,45,"charcoal",NA,NA,NA,-72.32,-13.09,2,NA,NA,"Machu Picchu","Peru",NA,"South America","Goldberg_2016","Fergusson and Libby 1964; Plew and Pavesic 1982; Swanson et al. 1964; Wright 1982","shcal20"
"160721","UCLA-2702A",2050,265,"bone",NA,NA,NA,-72.32,-13.09,2,NA,NA,"Machu Picchu","Peru",NA,"South America","Goldberg_2016","Bright M. 1965; Johnson D. E. 1977; Fergusson G. J. Libby W. F. 1964","shcal20"
"160845","UCLA-969",3050,80,"charcoal",NA,NA,NA,-75.4,-14.27,2,NA,NA,"Erizo","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"160938","UCR-2086",2970,70,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Neira y Cardona 2000-2001","shcal20"
"160939","UCR-2087",2810,60,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Neira y Cardona 2000-2001","shcal20"
"160940","UCR-2088",2990,70,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Neira y Cardona 2000-2001","shcal20"
"160941","UCR-2089",2730,70,NA,NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Glassow M. A. 1981","shcal20"
"160948","UCR-2207",2590,200,"Bone",NA,NA,NA,-74.38,-15.29,2,NA,NA,"Hacha","Peru",NA,"South America","SCAR","Bouey 1995","shcal20"
"161222","UCR-679",2430,100,"charcoal",NA,NA,NA,-74.216423,-13.172183,2,NA,NA,"Wichqana","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
"161382","UGAMS 4066",10260,40,"plant",NA,NA,NA,-69.335666,-21.055629,1,NA,NA,"Quebrada Mani","Chile",NA,"South America","Pratesetal2020","Beron 2013","shcal20"
"161385","UGAMS 4561",10110,30,"plant",NA,NA,NA,-69.335666,-21.055629,1,NA,NA,"Quebrada Mani","Chile",NA,"South America","Pratesetal2020","Latorre C. Santoro C. M. Ugalde P. C. Gayo E. M. Osorio D. Salas-Egana C. Pol-Holz R. D. Joly D. Rech J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert northern Chile. Quaternary Science Reviews 77 19-30.","shcal20"
"161386","UGAMS 4562",10030,40,"plant",NA,NA,NA,-69.335666,-21.055629,1,NA,NA,"Quebrada Mani","Chile",NA,"South America","Pratesetal2020","Latorre C. Santoro C. M. Ugalde P. C. Gayo E. M. Osorio D. Salas-Egana C. Pol-Holz R. D. Joly D. Rech J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert northern Chile. Quaternary Science Reviews 77 19-30.","shcal20"
