taxon,part,site,region,age BC,calBP,DomTrait,stdev,stdev, PerDom,PerCrops,References
barley,rachis,Abu Hureyra (2B),Levant North,-7400,-9350,1,0.141,,1,0.067,De Moulins 1997; Allaby et al 2017
barley,rachis,Azraq 31,Levant South,-7335,-9285,0.01,,,0.01,0.041,Colledge 2001; Allaby et al. 2017
barley,rachis,Wadi Fidan A,Levant South,-7275,-9225,0.69,0.1,,0.69,0.898,Colledge 2001; Allaby et al. 2017
barley,rachis,Ramad,Levant South,-6975,-8925,0.59,0.224,,0.59,0.384,Van Zeist and Bakker-Heeres 1982; Allaby et al 2017
barley,rachis,el-Hemmeh (LPPNB),Levant South,-6915,-8865,0.5,0.023,,0.5,0.46,White 2013
barley,rachis,Jilat 13,Levant South,-6815,-8765,0.05,0,,0.05,0.004,Colledge 2001; Allaby et al. 2017
barley,rachis,El Kowm 2,Levant North,-6725,-8675,1,0.001,,1,0.18,De Moulins 1997; Allaby et al 2017
barley,rachis,Çatalhöyük East,Anatolia Central,-6660,-8610,1,0.456,,1,0.7,Fairbarin et al. 2022; Allaby et al. 2017
barley,rachis,Mazgaliyeh,North FC,-6650,-8600,0.83,0,,0.83,0.372,Willcox 2006; Allaby et al 2017
barley,rachis,Wadi Fidan C,Levant South,-6350,-8300,0.91,0.566,,0.91,0.973,Colledge 2001; Allaby et al. 2017
barley,rachis,Salat Cami Yani,North FC,-6345,-8295,1,0.669,,1,0.844,Tanno and Willcox 2012; Allaby et al 2017
barley,rachis,Abu Hureyra (2C),Levant North,-6200,-8150,1,0.072,,1,0.127,De Moulins 1997; Allaby et al 2017
einkorn,rachis,Shubayqa,Levant South,-12450,-14400,0,0,,0,0.0072,Arranz-Otaegui et al. 2018
einkorn,rachis,Qaramel,Levant North,-9725,-11675,0.02,0.044,,0.02,0.007,Tanno and Willcox 2006; Allaby et al 2017
einkorn,rachis,Jerf el-Ahmar,Levant North,-9075,-11025,0,0,,0,0.499,Tanno and Willcox 2012; Allaby et al 2017
einkorn,rachis,D'jade,Levant North,-8550,-10500,0,0,,0,0.352,Tanno and Willcox 2012; Allaby et al 2017
einkorn,rachis,Tell Qarassa,Levant South,-8495,-10445,0.29,0.015,,0.286,0.321,Arranz-Otaegui et al. 2016a; Allaby et al 2017
einkorn,rachis,Tell el Kerkh,Levant North,-8430,-10380,0.36,0.117,,0.364,0.039,Tanno and Willcox 2012; Allaby et al 2017
einkorn,rachis,Nevali Cori,North FC,-8275,-10225,0.11,0.135,,0.11,0.847,Tanno and Willcox 2012; Allaby et al 2017
einkorn,rachis,Cafer Hoyuk IX-XIII,North FC,-8100,-10050,0.4,0.139,,0.4,0.449,De Moulins 1997; Allaby et al 2017
